Rule,Count
JavadocPackageCheck,17
JavadocStyleCheck,77
LineLengthCheck,123
DesignForExtensionCheck,30
MissingJavadocMethodCheck,15
WhitespaceAroundCheck,28
UnusedImportsCheck,2
JavadocVariableCheck,32
JavadocMethodCheck,2
NewlineAtEndOfFileCheck,5
AvoidStarImportCheck,4
MagicNumberCheck,1
MemberNameCheck,4
FinalParametersCheck,50
HiddenFieldCheck,21
LocalVariableNameCheck,1
WhitespaceAfterCheck,19
NeedBracesCheck,12
ParenPadCheck,2
HideUtilityClassConstructorCheck,1
TodoCommentCheck,2
RightCurlyCheck,2
OperatorWrapCheck,2
