GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GestioneComanda,com.example.gestionecomanda.Interface.testControllers,TestController,20,234,4,8,4,46,4,14,0,12
GestioneComanda,com.example.gestionecomanda.Domain,GestionePrioritaOrdini,13,40,1,1,2,14,1,4,0,4
GestioneComanda,com.example.gestionecomanda.Domain,GestioneHeap,36,48,2,0,12,16,4,3,3,3
GestioneComanda,com.example.gestionecomanda.Interface.EventControllers.SubCucinaAdapter.impl,SubCucinaAdapter,0,73,0,0,0,17,0,5,0,5
GestioneComanda,com.example.gestionecomanda.Domain.dto,NotificaOrdineDTO,36,58,5,5,0,7,7,9,2,9
GestioneComanda,com.example.gestionecomanda.Domain.dto,NotificaOrdineDTO.NotificaOrdineDTOBuilder,6,21,0,0,0,1,1,4,1,4
GestioneComanda,com.example.gestionecomanda.Domain.dto,OrdineDTO.OrdineDTOBuilder,15,49,0,0,0,1,1,8,1,8
GestioneComanda,com.example.gestionecomanda.Domain.dto,NotificaPrepOrdineDTO.NotificaPrepOrdineDTOBuilder,13,23,0,0,0,1,2,4,2,4
GestioneComanda,com.example.gestionecomanda.Domain.dto,NotificaPrepOrdineDTO,47,73,6,6,0,8,8,11,2,11
GestioneComanda,com.example.gestionecomanda.Domain.dto,OrdineDTO,104,163,27,15,0,10,21,19,1,18
GestioneComanda,com.example.gestionecomanda.config,KafkaConfig,0,34,0,0,0,7,0,3,0,3
GestioneComanda,com.example.gestionecomanda.config,JPAConfiguration,3,0,0,0,1,0,1,0,1,0
GestioneComanda,com.example.gestionecomanda.config,JsonConfig,0,22,0,0,0,5,0,2,0,2
GestioneComanda,com.example.gestionecomanda.config,MapperConfig,0,14,0,0,0,4,0,2,0,2
GestioneComanda,com.example.gestionecomanda.Domain.Entity,OrdineEntity,106,161,29,13,0,10,22,18,1,18
GestioneComanda,com.example.gestionecomanda.Domain.Entity,OrdineEntity.OrdineEntityBuilder,15,49,0,0,0,1,1,8,1,8
GestioneComanda,com.example.gestionecomanda,GestioneComandaApplication,5,3,0,0,2,1,1,1,1,1
GestioneComanda,com.example.gestionecomanda.Interface.EventControllers.SubClienteAdapter.impl,SubClienteAdapter,0,78,0,0,0,18,0,6,0,6
GestioneComanda,com.example.gestionecomanda.Interface.testControllers.impl,TestServiceImpl,6,75,1,1,1,22,1,10,0,10
GestioneComanda,com.example.gestionecomanda.Infrastructure.MessageBroker,CucinaPubProducer,6,43,1,1,1,12,1,4,0,4
GestioneComanda,com.example.gestionecomanda.Domain.mappers.impl,OrdineMapper,0,20,0,0,0,5,0,3,0,3
GestioneComanda,com.example.gestionecomanda.Infrastructure.Repository,JPADBAdapter,5,82,0,0,0,18,1,8,1,8
