Rule,Count
JavadocPackageCheck,14
JavadocStyleCheck,62
LineLengthCheck,110
DesignForExtensionCheck,27
MissingJavadocMethodCheck,17
WhitespaceAroundCheck,29
UnusedImportsCheck,3
JavadocVariableCheck,21
JavadocMethodCheck,2
FinalParametersCheck,35
HiddenFieldCheck,15
NewlineAtEndOfFileCheck,7
AvoidStarImportCheck,6
NeedBracesCheck,10
WhitespaceAfterCheck,67
NoWhitespaceBeforeCheck,2
MagicNumberCheck,17
LeftCurlyCheck,1
ParenPadCheck,1
TodoCommentCheck,4
LocalVariableNameCheck,5
RightCurlyCheck,3
HideUtilityClassConstructorCheck,1
OperatorWrapCheck,1
MethodParamPadCheck,1
