GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GestioneCucina,com.example.gestionecucina.Interface.EventControllers.impl,SubOrderAdapter,0,73,0,0,0,17,0,5,0,5
GestioneCucina,com.example.gestionecucina,GestioneCucinaApplication,5,3,0,0,2,1,1,1,1,1
GestioneCucina,com.example.gestionecucina.Domain,AllocatoreOrdini,0,34,0,0,0,13,0,3,0,3
GestioneCucina,com.example.gestionecucina.Domain,GestioneCode,63,457,12,14,11,80,11,12,1,9
GestioneCucina,com.example.gestionecucina.config,JPAConfiguration,3,0,0,0,1,0,1,0,1,0
GestioneCucina,com.example.gestionecucina.config,KafkaConfig,0,34,0,0,0,7,0,3,0,3
GestioneCucina,com.example.gestionecucina.config,MapperConfig,0,14,0,0,0,4,0,2,0,2
GestioneCucina,com.example.gestionecucina.config,JsonConfig,0,22,0,0,0,5,0,2,0,2
GestioneCucina,com.example.gestionecucina.Domain.dto,OrdineDTO,104,163,27,15,0,10,21,19,1,18
GestioneCucina,com.example.gestionecucina.Domain.dto,CodaPostazioneDTO,12,101,4,4,3,25,5,11,1,11
GestioneCucina,com.example.gestionecucina.Domain.dto,NotificaPrepOrdineDTO,47,73,6,6,0,8,8,11,2,11
GestioneCucina,com.example.gestionecucina.Domain.dto,NotificaPrepOrdineDTO.NotificaPrepOrdineDTOBuilder,8,28,0,0,0,1,1,5,1,5
GestioneCucina,com.example.gestionecucina.Domain.dto,OrdineDTO.OrdineDTOBuilder,15,49,0,0,0,1,1,8,1,8
GestioneCucina,com.example.gestionecucina.Infrastructure.MessageBrokers,PubOrdAdapter,6,43,1,1,1,12,1,4,0,4
GestioneCucina,com.example.gestionecucina.Domain.Entity,IngredientePrincipaleEntity.IngredientePrincipaleEntityBuilder,27,0,0,0,1,0,5,0,5,0
GestioneCucina,com.example.gestionecucina.Domain.Entity,OrdineEntity,192,75,41,1,0,10,24,16,3,16
GestioneCucina,com.example.gestionecucina.Domain.Entity,OrdineEntity.OrdineEntityBuilder,15,49,0,0,0,1,1,8,1,8
GestioneCucina,com.example.gestionecucina.Domain.Entity,IngredientePrincipaleEntity,128,0,22,0,7,0,22,0,11,0
GestioneCucina,com.example.gestionecucina.Domain.Entity,CodaPostazioneEntity,0,113,1,7,0,28,1,15,0,12
GestioneCucina,com.example.gestionecucina.Interface.HTTPControllers,RestAPICucina,0,70,0,6,0,15,0,7,0,4
GestioneCucina,com.example.gestionecucina.Domain.mappers.impl,CodaPostazioneMapper,0,66,0,0,0,17,0,3,0,3
GestioneCucina,com.example.gestionecucina.Domain.mappers.impl,OrdineMapper,0,20,0,0,0,5,0,3,0,3
GestioneCucina,com.example.gestionecucina.Infrastructure.Repository,JPADBAdapter,0,14,0,0,0,7,0,2,0,2
